CLOUD,Name,EntrezIDs,Symbols
CLOUD023,Dopamine,1813;1812;1816;1814;1815;6531;1621;3350;3363;1812;6530;6532;3359;9177;6647;6571,DRD2;DRD1;DRD5;DRD3;DRD4;SLC6A3;DBH;HTR1A;HTR7;DRD1;SLC6A2;SLC6A4;HTR3A;HTR3B;SOD1;SLC18A2
CLOUD024,Bortezomib,5693;5689,PSMB5;PSMB1
CLOUD025,Trifluoperazine,1813;50632;148;801;7134;6275,DRD2;CALY;ADRA1A;CALM1;TNNC1;S100A4
CLOUD026,Maraviroc,1234,CCR5
CLOUD027,Ulipristal,5241;2908;367,PGR;NR3C1;AR
CLOUD028,Olmesartan,185,AGTR1
CLOUD029,Diphenidol,1128;1131;1129,CHRM1;CHRM3;CHRM2
CLOUD030,Pargyline,4129;4128,MAOB;MAOA
CLOUD031,Fluorouracil,7298,TYMS
CLOUD032,Memantine,116443;2903;2904;3359;1139;1813;2902,GRIN3A;GRIN2A;GRIN2B;HTR3A;CHRNA7;DRD2;GRIN1
CLOUD033,Fluvoxamine,6532;3757,SLC6A4;KCNH2
CLOUD034,3-Amino-2-Oxazolidinone,,
CLOUD035,Ibutilide,775;782;3757;781;786;3775;9424;81033;90134;3767,CACNA1C;CACNB1;KCNH2;CACNA2D1;CACNG1;KCNK1;KCNK6;KCNH6;KCNH7;KCNJ11
CLOUD036,Proguanil,1719;1719,DHFR;DHFR
CLOUD037,Sertraline,6532;6531;10857,SLC6A4;SLC6A3;PGRMC1
CLOUD038,Naltrexone,4985;4988;4986;10280,OPRD1;OPRM1;OPRK1;SIGMAR1
CLOUD039,Vecuronium,1135,CHRNA2
CLOUD040,Minoxidil,3758;5742;5972,KCNJ1;PTGS1;REN
CLOUD041,Busulfan,,
CLOUD042,Trihexyphenidyl,1128;1129;1131;1132;1133,CHRM1;CHRM2;CHRM3;CHRM4;CHRM5
CLOUD043,Levonorgestrel,5241;6715;2099;367;6462,PGR;SRD5A1;ESR1;AR;SHBG
CLOUD044,Imipramine,6530;6532;3356;3269;148;146;1128;1129;1131;1132;1133;3751;3752;3358;3358;147;3363;1812;1813;3757;6531;3350;3362;3756;5005,SLC6A2;SLC6A4;HTR2A;HRH1;ADRA1A;ADRA1D;CHRM1;CHRM2;CHRM3;CHRM4;CHRM5;KCND2;KCND3;HTR2C;HTR2C;ADRA1B;HTR7;DRD1;DRD2;KCNH2;SLC6A3;HTR1A;HTR6;KCNH1;ORM2
CLOUD045,Flumazenil,2554;2566;2558;2554,GABRA1;GABRG2;GABRA5;GABRA1
CLOUD046,Chlorambucil,,
CLOUD047,Pentamidine,1787,TRDMT1
CLOUD048,Canrenone,,
CLOUD049,Dronedarone,148;147;146;150;151;152;153;3757;775;776;778;779;782;783;784;785;6323;3776,ADRA1A;ADRA1B;ADRA1D;ADRA2A;ADRA2B;ADRA2C;ADRB1;KCNH2;CACNA1C;CACNA1D;CACNA1F;CACNA1S;CACNB1;CACNB2;CACNB3;CACNB4;SCN1A;KCNK2
CLOUD050,Methyclothiazide,6557;759;760;762,SLC12A1;CA1;CA2;CA4
CLOUD051,Testosterone,367;2099;4306,AR;ESR1;NR3C2
CLOUD052,Riluzole,6331;23657,SCN5A;SLC7A11
CLOUD053,Doxorubicin,7153;9221;4720;4722;374291,TOP2A;NOLC1;NDUFS2;NDUFS3;NDUFS7
CLOUD054,Triamterene,6340;6337;6338;6339,SCNN1G;SCNN1A;SCNN1B;SCNN1D
CLOUD055,Cevimeline,1131;1128,CHRM3;CHRM1
CLOUD056,Bumetanide,6557;6558;6560;57468;1080,SLC12A1;SLC12A2;SLC12A4;SLC12A5;CFTR
CLOUD057,Cytarabine,5423,POLB
CLOUD058,Loperamide,4988;4985;4986;773;5443;801;9970,OPRM1;OPRD1;OPRK1;CACNA1A;POMC;CALM1;NR1I3
CLOUD059,Nisoldipine,775;781;783;776;779,CACNA1C;CACNA2D1;CACNB2;CACNA1D;CACNA1S
CLOUD060,Sumatriptan,3352;3351;3355;3350,HTR1D;HTR1B;HTR1F;HTR1A
CLOUD061,Sitagliptin,1803,DPP4
CLOUD062,Disulfiram,217;1621,ALDH2;DBH
CLOUD063,Mitoxantrone,7153,TOP2A
CLOUD064,Tamoxifen,2099;2099;2100;2100;10682;5578;367;3757;8856;2104;6462,ESR1;ESR1;ESR2;ESR2;EBP;PRKCA;AR;KCNH2;NR1I2;ESRRG;SHBG
CLOUD065,Saxagliptin,1803,DPP4
CLOUD066,Ezetimibe,6646;29881;290;1558,SOAT1;NPC1L1;ANPEP;CYP2C8
CLOUD067,Cisapride,3360;3359;3356;3757,HTR4;HTR3A;HTR2A;KCNH2
CLOUD068,Risperidone,3356;1813;1814;1815;148;147;3352;3269;150;151;151;152;3358;3350;1812;3363,HTR2A;DRD2;DRD3;DRD4;ADRA1A;ADRA1B;HTR1D;HRH1;ADRA2A;ADRA2B;ADRA2B;ADRA2C;HTR2C;HTR1A;DRD1;HTR7
CLOUD069,Dihydroergotamine,3352;3351;150;3357,HTR1D;HTR1B;ADRA2A;HTR2B
CLOUD070,Dutasteride,6716;6715,SRD5A2;SRD5A1
CLOUD071,Sunitinib,5159;2321;3815;3791;2324;2322;1436;5156,PDGFRB;FLT1;KIT;KDR;FLT4;FLT3;CSF1R;PDGFRA
CLOUD072,Spironolactone,4306;367;5241;2908;1585;6715;6462;786;8856,NR3C2;AR;PGR;NR3C1;CYP11B2;SRD5A1;SHBG;CACNG1;NR1I2
CLOUD073,Sildenafil,8654;5148;5149,PDE5A;PDE6G;PDE6H
CLOUD074,Trioxsalen,,
CLOUD075,Acarbose,8972;279;2548;6476,MGAM;AMY2A;GAA;SI
CLOUD076,Entacapone,1312,COMT
CLOUD077,Digitoxin,476;1583,ATP1A1;CYP11A1
CLOUD078,Zalcitabine,,
CLOUD079,Milrinone,5139,PDE3A
CLOUD080,Acitretin,6256;5914;5915;5916;6257;6258;5947,RXRA;RARA;RARB;RARG;RXRB;RXRG;RBP1
CLOUD081,Azithromycin,23569,PADI4
CLOUD082,Isoprenaline,153;154;155;5594;5295;5296;8503;6647,ADRB1;ADRB2;ADRB3;MAPK1;PIK3R1;PIK3R2;PIK3R3;SOD1
CLOUD083,Niclosamide,,
CLOUD084,Aripiprazole,3356;1813;1813;3350;3350;3351;3352;3354;3358;3359;3362;3363;1812;1812;1816;1816;1814;1814;1815;1815;3269;148;147;150;151;152;152;1128;1129;1131;1132;1133,HTR2A;DRD2;DRD2;HTR1A;HTR1A;HTR1B;HTR1D;HTR1E;HTR2C;HTR3A;HTR6;HTR7;DRD1;DRD1;DRD5;DRD5;DRD3;DRD3;DRD4;DRD4;HRH1;ADRA1A;ADRA1B;ADRA2A;ADRA2B;ADRA2C;ADRA2C;CHRM1;CHRM2;CHRM3;CHRM4;CHRM5
CLOUD085,Anastrozole,1588,CYP19A1
CLOUD086,Rifabutin,3320;7184,HSP90AA1;HSP90B1
CLOUD087,Mebendazole,7846;10383,TUBA1A;TUBB4B
CLOUD088,Ethinyl Estradiol,2099;8856;6462,ESR1;NR1I2;SHBG
CLOUD089,Methotrexate,1719,DHFR
CLOUD090,Eptifibatide,3690,ITGB3
CLOUD091,Tacrine,43;590;1066,ACHE;BCHE;CES1
CLOUD092,Zafirlukast,10800,CYSLTR1
CLOUD093,Olmesartan Medoxomil,185,AGTR1
CLOUD094,Diethylcarbamazine,240;5742,ALOX5;PTGS1
CLOUD095,Enalaprilat,1636;623,ACE;BDKRB1
CLOUD096,Tetrabenazine,6571;1813,SLC18A2;DRD2
CLOUD097,Levamisole,1136;251,CHRNA3;ALPPL2
CLOUD098,Mecamylamine,1135;1139;1137;1141,CHRNA2;CHRNA7;CHRNA4;CHRNB2
CLOUD099,Procarbazine,4128;7498,MAOA;XDH
CLOUD100,Tolvaptan,554;552,AVPR2;AVPR1A
CLOUD101,Afimoxifene,2100;2104;2099;7031;2101;8856;6462,ESR2;ESRRG;ESR1;TFF1;ESRRA;NR1I2;SHBG
CLOUD102,Mercaptopurine,3251;5471;3614,HPRT1;PPAT;IMPDH1
CLOUD103,Dihydroartemisinin,,
CLOUD104,Cerivastatin,3156,HMGCR
CLOUD105,Hydralazine,8639;5033,AOC3;P4HA1
CLOUD106,Prednisolone,2908,NR3C1
CLOUD107,Ramelteon,4543;4544,MTNR1A;MTNR1B
CLOUD108,Tiagabine,6529,SLC6A1
CLOUD109,Amoxapine,6530;6532;1813;1812;150;148;1128;2554;3356;3358;3362;3363;1814;1815;3269;148;1128;3357;3359;3350;3351;150;59340;2554;6531,SLC6A2;SLC6A4;DRD2;DRD1;ADRA2A;ADRA1A;CHRM1;GABRA1;HTR2A;HTR2C;HTR6;HTR7;DRD3;DRD4;HRH1;ADRA1A;CHRM1;HTR2B;HTR3A;HTR1A;HTR1B;ADRA2A;HRH4;GABRA1;SLC6A3
CLOUD110,Terazosin,148;147;146;3757;81033;90134,ADRA1A;ADRA1B;ADRA1D;KCNH2;KCNH6;KCNH7
CLOUD111,Artemether,,
CLOUD112,Vorinostat,3065;3066;8841;10013;55869,HDAC1;HDAC2;HDAC3;HDAC6;HDAC8
CLOUD113,Itraconazole,1595,CYP51A1
CLOUD114,Imatinib,3815;3815;5979;4914;1436;5156;780;25;5159,KIT;KIT;RET;NTRK1;CSF1R;PDGFRA;DDR1;ABL1;PDGFRB
CLOUD115,Azacitidine,1786,DNMT1
CLOUD116,Galantamine,43;1134;1140;1144;1146;1145;1135;1136;1137;1138;8973;1139;55584;57053;1141;1142;1143;590,ACHE;CHRNA1;CHRNB1;CHRND;CHRNG;CHRNE;CHRNA2;CHRNA3;CHRNA4;CHRNA5;CHRNA6;CHRNA7;CHRNA9;CHRNA10;CHRNB2;CHRNB3;CHRNB4;BCHE
CLOUD117,Irinotecan,7150;116447,TOP1;TOP1MT
CLOUD118,Nizatidine,3274,HRH2
CLOUD119,Tacrolimus,2280,FKBP1A
CLOUD120,Tizoxanide,,
CLOUD121,Thalidomide,51185;7124;4790;2263;5743;5004,CRBN;TNF;NFKB1;FGFR2;PTGS2;ORM1
CLOUD122,Dipyridamole,10846;100;8654;5141;1827;5004,PDE10A;ADA;PDE5A;PDE4A;RCAN1;ORM1
CLOUD123,Lubiprostone,1181,CLCN2
CLOUD124,Atenolol,153;154,ADRB1;ADRB2
CLOUD125,Tolazoline,148;150;3269;3274;152;151,ADRA1A;ADRA2A;HRH1;HRH2;ADRA2C;ADRA2B
CLOUD126,Methylergometrine,1812;3357,DRD1;HTR2B
CLOUD127,Minoxidil Sulfate,3758;5742;5972,KCNJ1;PTGS1;REN
CLOUD128,Cycloguanil,1719;1719,DHFR;DHFR
CLOUD129,Mefloquine,3039;135,HBA1;ADORA2A
CLOUD130,Lumefantrine,,
CLOUD131,Trimethobenzamide,,
CLOUD132,Dantrolene,6261,RYR1
CLOUD133,Epinephrine,148;147;153;154;150;151;146;5053;152;155;7124;6647,ADRA1A;ADRA1B;ADRB1;ADRB2;ADRA2A;ADRA2B;ADRA1D;PAH;ADRA2C;ADRB3;TNF;SOD1
CLOUD134,Trazodone,3356;3358;6532;3350;3269;148;150,HTR2A;HTR2C;SLC6A4;HTR1A;HRH1;ADRA1A;ADRA2A
CLOUD135,Furazolidone,,
CLOUD136,Hydroxyflutamide,367;196;8856,AR;AHR;NR1I2
CLOUD137,Cisatracurium,1135,CHRNA2
CLOUD138,Pentostatin,100,ADA
CLOUD139,Docetaxel,81027;596;4133;4134;4137;8856,TUBB1;BCL2;MAP2;MAP4;MAPT;NR1I2
CLOUD140,Bretylium,476,ATP1A1
CLOUD141,Lansoprazole,495;4137,ATP4A;MAPT
CLOUD142,Flutamide,367;196;8856,AR;AHR;NR1I2
CLOUD143,Albendazole,1131;7846;10383;10383,CHRM3;TUBA1A;TUBB4B;TUBB4B
CLOUD144,Trimethoprim,7298;1719,TYMS;DHFR
CLOUD145,Lacosamide,6335;6328;6336,SCN9A;SCN3A;SCN10A
CLOUD146,Abacavir,3106,HLA-B
CLOUD147,Iloprost,5739;5731;5141;5142;5143;5144;5327;11251,PTGIR;PTGER1;PDE4A;PDE4B;PDE4C;PDE4D;PLAT;PTGDR2
CLOUD148,Metformin,5564,PRKAB1
CLOUD149,Ranolazine,6331;6335,SCN5A;SCN9A
CLOUD150,Lithium,2932;3612;3613;2892,GSK3B;IMPA1;IMPA2;GRIA3
CLOUD151,Praziquantel,,
CLOUD152,Vinblastine,7846;203068;51174;7283;51175;3725,TUBA1A;TUBB;TUBD1;TUBG1;TUBE1;JUN
CLOUD153,Metaxalone,,
CLOUD154,Ezetimibe Glucuronide,6646;29881;290;1558,SOAT1;NPC1L1;ANPEP;CYP2C8
CLOUD155,Lamotrigine,777;6326;134;135;148;150;153;1812;1813;2554;2554;3269;4986;1128;3356;3359,CACNA1E;SCN2A;ADORA1;ADORA2A;ADRA1A;ADRA2A;ADRB1;DRD1;DRD2;GABRA1;GABRA1;HRH1;OPRK1;CHRM1;HTR2A;HTR3A
CLOUD156,Enoxacin,7153,TOP2A
CLOUD157,Doxapram,3777;51305,KCNK3;KCNK9
CLOUD158,Stanozolol,,
CLOUD159,Miglitol,8972;8972;2548;23193;2595;279,MGAM;MGAM;GAA;GANAB;GANC;AMY2A
CLOUD160,Tetracycline,5621;23569,PRNP;PADI4
CLOUD161,Sulfameter,,
CLOUD162,Carglumic Acid,1373,CPS1
CLOUD163,Nateglinide,6833;5468,ABCC8;PPARG
CLOUD164,Temozolomide,,
CLOUD165,Mycophenolic acid,3614;3615,IMPDH1;IMPDH2
CLOUD166,Meclofenamic acid,5742;5743;240;3785;3786,PTGS1;PTGS2;ALOX5;KCNQ2;KCNQ3
CLOUD167,Phenprocoumon,79001,VKORC1
CLOUD168,Mesalazine,5743;5742;240;5468;1147;3551;4353,PTGS2;PTGS1;ALOX5;PPARG;CHUK;IKBKB;MPO
CLOUD169,Mitotane,1584;2230;2099;5241;367,CYP11B1;FDX1;ESR1;PGR;AR
CLOUD170,Metronidazole,1595,CYP51A1
CLOUD171,Isoniazid,1558;1544;1576;1557,CYP2C8;CYP1A2;CYP3A4;CYP2C19
CLOUD172,Amprenavir,,
CLOUD173,Thiabendazole,,
CLOUD174,Nitazoxanide,,
CLOUD175,Propylthiouracil,7173,TPO
CLOUD176,Ribavirin 5'-Triphosphate,3614;132;3615;22978;5167;5167,IMPDH1;ADK;IMPDH2;NT5C2;ENPP1;ENPP1
CLOUD177,Cycloserine,,
CLOUD178,Ribavirin,3614;132;3615;22978;5167;5167,IMPDH1;ADK;IMPDH2;NT5C2;ENPP1;ENPP1
CLOUD179,Hydroxyurea,6240,RRM1
CLOUD180,Diazoxide,3767;759;760;476;3778;6559,KCNJ11;CA1;CA2;ATP1A1;KCNMA1;SLC12A3
CLOUD181,Mephenytoin,6331;8856,SCN5A;NR1I2
CLOUD182,Altretamine,,
CLOUD183,Chlorphenesin,,
CLOUD184,Topiramate,2554;6323;2897;760;762;2554;759;761,GABRA1;SCN1A;GRIK1;CA2;CA4;GABRA1;CA1;CA3
CLOUD185,Ethambutol,,
CLOUD186,Methyldopa,150;1644,ADRA2A;DDC
CLOUD187,Zileuton,240,ALOX5
CLOUD188,Carisoprodol,2554;2561;2566,GABRA1;GABRB2;GABRG2
CLOUD189,Gabapentin,781;9254;774;134;2902;2550;9568,CACNA2D1;CACNA2D2;CACNA1B;ADORA1;GRIN1;GABBR1;GABBR2
CLOUD190,Nitisinone,3242,HPD
CLOUD191,Allopurinol,7498,XDH
CLOUD192,Acetazolamide,759;760;762;771;23632;761;766;358,CA1;CA2;CA4;CA12;CA14;CA3;CA7;AQP1
CLOUD193,Oxyphenbutazone,30814,PLA2G2E
CLOUD194,Aminosalicylic Acid,5743;1147;240;30814,PTGS2;CHUK;ALOX5;PLA2G2E
CLOUD195,Trilostane,3283;3284;2099;2100,HSD3B1;HSD3B2;ESR1;ESR2
CLOUD196,Everolimus,2475,MTOR
CLOUD197,Paromomycin,,
CLOUD198,Citalopram,6532;3269;148;1128;3358,SLC6A4;HRH1;ADRA1A;CHRM1;HTR2C
CLOUD199,Halofantrine,3757;3757,KCNH2;KCNH2
CLOUD200,Etomidate,2554;151;2554,GABRA1;ADRA2B;GABRA1
CLOUD201,Armodafinil,6531;6531,SLC6A3;SLC6A3
CLOUD202,Metyrosine,7054,TH
CLOUD203,Teriflunomide,1723,DHODH
CLOUD204,Dexchlorpheniramine,,
CLOUD205,Gefitinib,1956;1577,EGFR;CYP3A5
CLOUD206,Bosentan,1909;1910,EDNRA;EDNRB
CLOUD207,Eflornithine,4953;4953,ODC1;ODC1
CLOUD208,Cilastatin,1800,DPEP1
CLOUD209,Clofarabine,5422;6240,POLA1;RRM1
CLOUD210,Hydroxymetronidazole,1595,CYP51A1
CLOUD211,Raltegravir,,
CLOUD212,Clofibric Acid,5465,PPARA
CLOUD213,Chlorzoxazone,3778,KCNMA1
CLOUD214,Sulbactam,,
CLOUD215,Febuxostat,7498,XDH
CLOUD216,Cefmenoxime,,
CLOUD217,Rufinamide,2915;6335,GRM5;SCN9A
CLOUD218,Atovaquone,1723,DHODH
CLOUD219,Sorafenib,673;5894;2324;3791;2322;5159;3815;2260;5979;2321,BRAF;RAF1;FLT4;KDR;FLT3;PDGFRB;KIT;FGFR1;RET;FLT1
CLOUD220,5-N-Acetyl-3-(1-Ethylpropyl)-1-Cyclohexene-1-Carboxylic Acid,,
CLOUD221,Efavirenz,,
CLOUD222,Cinacalcet,846,CASR
CLOUD223,Miglustat,7357,UGCG
CLOUD224,Probucol,19;1066,ABCA1;CES1
CLOUD225,Carmustine,2936,GSR
CLOUD226,Primidone,2554;2555;2556;2557;2558;2559;1137;1139;2891;2898;2554,GABRA1;GABRA2;GABRA3;GABRA4;GABRA5;GABRA6;CHRNA4;CHRNA7;GRIA2;GRIK2;GABRA1
CLOUD227,Acetohydroxamic Acid,4321,MMP12
CLOUD228,Mebutamate,,
CLOUD229,Sulfinpyrazone,1244;4363;116085;8856,ABCC2;ABCC1;SLC22A12;NR1I2
CLOUD230,Fenoprofen,5743;5742;5465;5468,PTGS2;PTGS1;PPARA;PPARG
CLOUD231,Novobiocin,,
CLOUD232,Quinine,2815;3783,GP9;KCNN4
CLOUD233,Ganciclovir,6286,S100P
CLOUD234,Pazopanib,2321;3791;2324;5156;5159;3815;2261;3702;2246;10019,FLT1;KDR;FLT4;PDGFRA;PDGFRB;KIT;FGFR3;ITK;FGF1;SH2B3
CLOUD235,Zonisamide,6323;6326;6328;6329;6331;6335;11280;6324;6327;55800;6330;8913;8912;8911;759;760;761;762;763;11238;765;766;767;768;56934;770;771;377677;23632;4129;4128,SCN1A;SCN2A;SCN3A;SCN4A;SCN5A;SCN9A;SCN11A;SCN1B;SCN2B;SCN3B;SCN4B;CACNA1G;CACNA1H;CACNA1I;CA1;CA2;CA3;CA4;CA5A;CA5B;CA6;CA7;CA8;CA9;CA10;CA11;CA12;CA13;CA14;MAOB;MAOA
CLOUD236,Glatiramer,3123,HLA-DRB1
CLOUD237,7-ethyl-10-hydroxycamptothecin,7150,TOP1
CLOUD238,Tinidazole,,
CLOUD239,Felbamate,2904;116443;2903,GRIN2B;GRIN3A;GRIN2A
CLOUD240,Acetohexamide,3758,KCNJ1
CLOUD241,Diclofenamide,759;760;762;766;761,CA1;CA2;CA4;CA7;CA3
CLOUD242,Fomepizole,124;125;126;847,ADH1A;ADH1B;ADH1C;CAT
CLOUD243,Leflunomide,1723;196;2185,DHODH;AHR;PTK2B
CLOUD244,Probenecid,9356;55867;9376;24145;50833,SLC22A6;SLC22A11;SLC22A8;PANX1;TAS2R16
CLOUD245,Pyrazinamide,,
CLOUD246,Baclofen,2550;9568,GABBR1;GABBR2
CLOUD247,Clofibrate,5465,PPARA
CLOUD248,Pyrazinoic Acid,,
CLOUD249,Valproic Acid,9734;18;36;4967;7915;6323;3066;5465;5467;5468,HDAC9;ABAT;ACADSB;OGDH;ALDH5A1;SCN1A;HDAC2;PPARA;PPARD;PPARG
CLOUD250,Carboplatin,6647,SOD1
CLOUD251,Theophylline,134;135;136;5142;8654;5141;5139;3066;8904;81502;23420;142;79608;26140,ADORA1;ADORA2A;ADORA2B;PDE4B;PDE5A;PDE4A;PDE3A;HDAC2;CPNE1;HM13;NOMO1;PARP1;RIC3;TTLL3
CLOUD252,Fosfomycin,,
CLOUD253,Tranexamic Acid,5340,PLG
CLOUD254,Piperazine,2562,GABRB3
CLOUD255,Auranofin,25824;3551,PRDX5;IKBKB
CLOUD256,Triflupromazine,1812;1813;3357;1128;1129,DRD1;DRD2;HTR2B;CHRM1;CHRM2
CLOUD257,6-Hydroxybuspirone,3350;1813,HTR1A;DRD2
CLOUD258,Pinacidil,,
CLOUD259,Ditiocarb,,
CLOUD260,Amantadine,116443;1139;1813;1137;1136,GRIN3A;CHRNA7;DRD2;CHRNA4;CHRNA3
CLOUD261,Succinylcholine,57053;1139;1128;1129;1131,CHRNA10;CHRNA7;CHRM1;CHRM2;CHRM3
CLOUD262,Buspirone,3350;1813,HTR1A;DRD2
CLOUD263,Phensuximide,,
CLOUD264,Aprepitant,6869,TACR1
CLOUD265,Foscarnet,,
CLOUD266,Guanadrel,6530,SLC6A2
CLOUD267,Varenicline,1137;1139;1136;8973;1141,CHRNA4;CHRNA7;CHRNA3;CHRNA6;CHRNB2
